,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like
0,【产品项目类问题】项目从0到1 搭建过程，你觉得最难的功能模块是什么？回答思路+话术|产品经理面试技巧,145,2,0,0,5,[10]-建立需求池【1、产品经理系统课程——产品架构】,347,39,2,2,9,文科生也能年薪30w！非理工科一定要学会给自己叠buff,869,17,6,7,24,如何判断一个产品经理水不水？,3829,51,2,3,17,林勇 | B站学PgMP | 我国PgMP突破一千人,184,2,4,3,7
1,【林木】的产品经理进阶课,7,1,0,1,1,90%产品经理会碰到的文档逻辑遗漏问题,36,2,0,0,2,热门产品经理岗位总结出的产品经理求职面试的能力结构模型,364,41,2,4,10,出解决方案，做概要设计底层基础功—IT基础知识,4495,491,75,35,148,掏心窝的职场复盘，七年数据人为什么转岗不干了？,4371,106,44,7,187
2,数学与统计专业，零基础应届生喜提快手产品经理，新手遇到大项目，不懂技术怎么办？ #快手产品经理,2506,127,25,14,62,给产品经理讲技术:什么是网关？,6048,149,27,10,108,震惊！第一次看到产品经理的简历长这样！,739,95,11,5,25,【Axure骚操作】二维码扫描效果/无限循环/随意复制,175,3,2,0,2,策略产品经理必须掌握的一种数据处理方法,562,58,2,1,16
3,15分钟教你学会-产品经理必懂的技术知识：API接口（上）,2420,245,32,15,54,20分钟讲解营销活动类产品后台设计思路,1249,77,6,10,33,1、开学典礼_miya,13,1,0,0,0,产品经理如何利用产品战略赢得市场,71,2,0,1,1,产品经理如何利用产品战略赢得市场,129,16,0,1,3
4,[NPDP课程]产品经理（NPDP)认证知识体系备考指南岗位职能培训教程（升级版）,324,12,2,0,5,老板叫我负责一个项目，我该怎么把事做好？,2169,72,36,11,135,b端产品经理如何在面试中介绍项目经历？,1063,24,12,7,12,[产品经理]职场就业课|B站专属|产品经理训练营,894,142,15,7,29,AIGC产品经理｜快速入行方法论,399,24,4,4,16
5,华为AI产品经理实战课程（36讲），从0开始构建AI产品经理入门知识体系,11045,128,4,61,226,为什么说业务能力是产品经理最重要的能力,211,3,1,1,5,产品经理面对接口文档怎样分析出功能需求?,838,42,5,3,17,【中英字幕】产品经理基础课程-Product Management Fundamentals,10992,2375,320,148,636,设计总监如何解决设计师跟产品经理撕B？,381,8,4,0,16
6,说一个快速且效果特好的产品入门求职方法,211,17,11,3,19,B端产品方法论|B端产品经理业务价值是降本增效？,519,52,10,7,18,当产品经理面试被问到职业规划时...,273,15,6,2,7,主流B端产品：CRM产品设计！活动管理&线索管理-产品经理课程,4497,355,22,14,82,第46节 产品组合和产品线管理,139,1,0,1,0
7,求职寒冬，BOSS直聘消息已读不回、没有邀约面试怎么搞？详细教程来了,9628,1023,172,63,365,揭秘我们这些不上班的人到底靠什么赚钱（巨真实）,1588,52,9,6,45,33岁被裁员，不出门不上班一个月在杭州我花了多少钱？还能不能躺平了,2519,5,12,1,55,一个视频讲清楚硬件产品经理求职那些事,851,44,30,7,39,【数据指标异动分析题】面试100%必被问，真实工作常遇到的问题（产品经理、运营、数据分析师）,10558,1180,166,87,721
8,"【Excel数据分析】大名鼎鼎的波士顿矩阵分析模型, 只用了一个图表?",4822,280,65,19,190,产品经理常用术语总结，详细解说，干货满满！！,889,86,8,6,23,为啥猝死的都是程序员，而不是产品经理？ 不要以为产品经理很轻松，啥也不是,264944,567,97,186,9705,【B端产品经理实战训练营】产品研发流程,1367,228,25,0,42,产品经理入门课程,731,134,15,12,30
9,产品经理软硬技能分享秘籍,238,6,1,1,3,面试说清楚项目很难吗,303,10,6,1,7,数据产品之数据集成平台价值与功能，如何去设计？,276,9,0,2,3,一个很变态但能找到神仙公司的野路子,139852,12788,1303,1263,7475,产品经理这个岗位，快被作没了！,117300,1484,1301,987,3485
10,产品经理要怎么学会看数据？,3318,166,30,9,90,供应链系统中的编码和条码，你真的懂吗？供应链产品经理 | ERP | OMS | 进销存,784,44,10,4,25,运营的本质是什么？颠覆我认知的答案,576,22,4,2,23,职场人必备的10大学习模型浅析,9268,2143,127,130,555,字节AI产品经理压力面试，看看你能坚持到几秒,1651,57,2,5,14
11,数据产品经理实战项目,396,10,11,1,11,简历花了怎么办？,6650,136,14,12,148,产品经理必读经典好书：第6期 About Face 交互设计精髓,3094,334,81,15,131,直播讲座 | 互联网漫谈——校招产品经理1-3年的定位与发展路径,473,60,22,15,28,不想加班！为什么不试试Web3呢？远程工作！告别内卷！超额收益！下一个蓝海赛道！【DioWeb3-产品经理指南第一期-Web3工作的优势】,480,19,28,3,31
12,【B端竞品】企业OA系统,437,12,0,4,7,资本浮躁 企业短视 科研人员功利？ 为什么突破性技术总是发生在西方？科研产品化的困境与破局上集,127205,2453,2225,354,4035,[2023新版]Axure实战高阶篇：交互设计100例，持续更新！产品经理必学交互系列课程！,14743,442,81,42,104,GPT4 Turbo来了，但人与人之间的差距，还是那么大,108202,1888,1270,831,5223,老板说：你真的很会做行业分析｜如何快速了解一个行业？华为万能分析框架,8350,1193,166,100,466
13,建筑转行数字化，朝九晚五20W+年薪，性价比远超地产设计院,2299,39,8,6,14,陈老师教你什么是用户故事,1152,138,14,8,43,程序员转行电商，从入门到倒闭(2),364,1,5,1,7,从产品的角度看区块链、nft、元宇宙三者之间是什么关系？！【产品经理顶级思维】产品经理入门,161,4,0,0,5,如何做好第一轮售前准备工作？,719,59,11,6,24
