,title,view,favorite,coin,share,like
0,从零开始的AI商业技能必修课《营销+AI落地实践之设计篇》,77,1,0,0,1
1,如何敲打多次询价，却不下单的客户？,602,14,7,2,21
2,赚钱的逻辑其实就是这两句话,14375,743,47,73,681
3,【重生の我要开网店】拼多多核心黑科技，新店30天日销破万！,18,2,0,0,2
4,一直不开单，要不要坚持下去？看完我的故事再做决定,242,6,0,1,3
5,王小卤品牌营销策划方案,31,2,0,0,1
6,为什么很多时候客户不愿意和销售聊项目的事？,54,2,0,0,0
7,销售中的需求心理学，顾客要什么就卖什么,133,1,0,2,2
8,乡村振兴品牌设计怎么做｜策略方案,1188,92,19,9,69
9,做游戏最重要的根本不是技术！你说咩了个咩有啥技术含量？,38883,241,14,74,429
10,销售智慧：不要把贪欲写在脸上,147447,229,26,9,4049
11,酒店活动营销：这里包含了节日方案营销方案活动案列促销方案等等,12,1,0,0,0
12,如何应对客户一上来就要报价 #销售 #销售技巧 #销售话术,2989,87,0,20,105
13,公司产品是to b 的，新媒体平台发啥都没人看,1565,67,22,9,65
14,营销活动类产品后台设计思路,894,108,12,5,28
15,看懂《你好星期六》，学做活动营销,301,6,0,0,2
16,想要一夜爆火，咖啡店开业如何低成本做营销活动？饥饿营销案例,950,40,2,7,11
17,20分钟讲解营销活动类产品后台设计思路,1249,77,6,10,33
18,银行营销活动干货分享,120,1,0,1,1
19,多功能茅台全自动后台定时抢购脚本，支持21个平台【永久脚本+详细教程】,641,16,23,5,16
20,走吧！跟我拜访客户去、软件销售关于客户拜访的干货分享,299,3,2,1,8
21,这就是销冠和普通销售拉开差距的地方,2383,104,16,19,99
22,餐饮爆店营销实战方法，第八课：核心平台功能区详解（上）,41,3,0,1,1
23,【客户沟通】遭遇冷漠客户，我该放弃吗？,197,2,2,2,5
24,社区餐饮店怎么做营销,93,1,0,0,1
25,巨量引擎 巧用工具提高分析效率-降本提效,439,12,6,3,6
26,拒绝电池思维——宇宙的尽头是关系，如果没有，尽头就是营销,20002,438,344,133,701
27,市场营销人看乐事地铁广告，你不吃薯片的原因是什么？,159171,506,51,102,5023
28,项目型销售:初步接触的五大目的,166,1,2,0,1
29,你能写品牌传播方案吗？㊙传播方案️❗️营销策划人备起来，因篇幅过长，只展现部分。#营销策划 #营销策略 #营销方案 #品牌策划 #品牌策略,3,1,0,0,0
30,跨境营销套路,88,1,0,0,1
31,海外顶级私域！比谷歌和Facebook更有价值的渠道？邮件营销为什么重要？,4702,307,45,26,151
32,有本事的销冠，心狠是第一位 #销售技巧 #销售冠军 #销售思维,32917,456,18,90,643
33,做销售，没胆量怎么练？2步突破，真的很有效，很万能,29543,1677,326,172,1155
34,速达3000销售管理销售订单的操作步骤,88,1,0,0,1
35,38句攻心夺魂的话术,622,99,0,4,8
36,销售演讲 | TED×德里克·汤普森：销售也有黄金公式吗？,487,62,6,3,24
37,信息流小众渠道13个全解析,721,54,18,5,17
38,巨量引擎账户搭建与优化全攻略,225,3,6,3,4
39,「品牌营销方案」万能模版！市场部新人必看，6年经验手把手教学｜市场分析+目标制定+营销策略+传播节奏+预算分配,10474,1010,214,104,464
40,只要想做销售就可以做外贸了,189,4,0,1,0
41,sns营销怎么开始？教你如何在sns上展示自己的价值,343,3,0,3,3
42,sns营销怎么开始？教你如何在sns上展示自己的价值,343,3,0,3,3
43,现在生意不好做呀！,61637,181,10,16,3130
44,AI会颠覆微信群聊吗？｜创梦CEO访谈2/2,2580,40,20,6,48
45,人是死的，但广告是活的呀！,445856,9559,1963,1157,41892
46,微信公众号掘金，每天半小时，日入500，附详细实操课程,206,4,8,0,6
47,5个裂变步骤，让客户疯狂转介绍,575,20,1,5,10
48,【新媒体运营】公众号写作秘诀,299,32,0,2,2
49,外企销售导师；我见过的厉害销售的五个类型 有你吗？,1499,36,6,4,47
50,路长全《营销纲领：谋定未来的营销大典》（50讲完整版）,307,36,0,2,5
51,《简说销售》之《如何破冰》,30275,1989,895,188,1549
52,德芙的整合营销传播信息战略纲要市场营销策划PPT,407,14,1,10,3
53,把ChatGPT调教成最强的新媒体打工人｜AI为短视频写黄金开头,48157,4855,2757,368,2672
54,第46节 产品组合和产品线管理,139,1,0,1,0
55,7条客户无法拒绝的销售话术,24264,1983,146,460,1287
56,【顶级大师课】《销售与说服的技巧》商业的本质是销售！,2585,496,19,26,130
57,深度干货|如何学习运营小红书（推荐品牌方＆博主观看）,112875,17375,2471,1983,6672
58,大客户销售的选择大于努力，行业公司（产品）和地域（客户）。,1025,39,14,4,35
59,销冠高建华市场营销底层逻辑：不懂市场营销，你的成功只是运气,13987,1053,72,187,219
60,如何做好第一轮售前准备工作？,719,59,11,6,24
61,雪梨销售技巧，销冠管的成长之路，销售为何要苦练基本功,4066,909,82,40,211
