,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,科比退役演讲 What can I say？Mamba Out！,精英们的故事,互联网,213092,1302,2008834382,376,2022-02-14 05:13,126,156,172,593987831,BV1Wq4y187xh,73919,0,0,0,
1,王佩丰Excel基础教程24讲完整版-带完整练习资料和答疑服务,云开见明教育科技,"视频完整版带全网唯一完整练习资料（某些数据是一个一个敲出来的，三连支持啊！！！），学完后可以掌握办公软件Excel表格技能！

需要进交流群的加微信 cxttcm2009",2421618,184728,456178842,2788,2019-12-23 13:24,94290,27979,107892,80336507,BV1yJ411s7wS,49148,0,0,0,
2,叫人家离职的时候有多硬气，现在就有多卑微,小张带你进好厂,-,1348088,700,410037730,668,2022-10-06 15:12,161,86,76,473778495,BV1xT411P7cp,31597,0,0,0,
3,公司新来00后写的代码，看到这段话我差点笑出猪叫,爱代码的喵酱,,3864584,3439,589102210,789,2022-06-24 22:49,255,3129,16,597830043,BV12B4y1q7TK,27516,0,0,0,
4,【办公软件实操】Excel、Word自学教程 从小白到高手 零基础入门起步 表格/EXCEL函数/EXCEL技巧/数据分析/办公软件教学,职上充电站,求关注,920705,57355,437506634,544,2022-04-26 14:47,6065,6237,15636,811115813,BV1x34y1a7L1,24598,0,0,0,
5,写bug的程序员被辞退，产品经理：换个人裁！,PM圈子-崔经理,,754262,486,496076562,538,2022-11-08 09:34,76,198,40,944926677,BV1xW4y14731,23394,0,0,0,
6,【WPS】全套新手自学教程，从零开始超详细讲解,WPS学堂,"超级简单的Excel教程大全，让你分分钟从小白变大神(✧◡✧)
最全干货就在这里，超细合集附加实例讲解，值得你收藏( *・ω・)✄╰ひ╯
更多原创教程尽在【WPS学院】
WPS学院：WPS官方一站式Office技巧学习平台
学到就是赚到，酷爱学习吧ο(=•ω＜=)ρ☆",2445210,134184,413228363,991,2019-08-26 21:32,5791,23420,4134,65469718,BV1B441167Gk,21698,0,0,0,
7,《关于老板说把公司当成家这件事》,李什么闯啊,,4856979,23571,1699496602,564,2022-09-30 10:22,767,5640,80,943581874,BV1fW4y1Y7nV,20645,0,0,0,
8,一万一页的PPT是什么样的,造飞船的董拾柒,,386341,2779,327909972,125,2021-11-01 13:17,12,110,19,718899855,BV1WQ4y1S7Fs,18391,0,0,0,
9,别找了，VLOOKUP函数最全18种用法都在这里了,晒书包Excel,"想要更好的学习，系统化学习的同学可以点击链接报名哈：
https://www.bilibili.com/cheese/play/ss4799

课件下载方式：公众号【晒书包Excel】后台回复关键词：VLOOKUP",913464,100652,652624650,762,2021-05-22 11:43,2010,18448,2504,503211690,BV1EN411Z7UX,17941,0,0,0,
